"v(prv)";"r ngspice/i(vpri)@v(prv)";"i ngspice/i(vpri)@v(prv)"
-6.77467e-24;-6.86397e-27;0
1.00331e-06;1.01654e-09;0
1.52613e-05;1.54624e-08;0
0.000216814;2.19671e-07;0
0.00287275;2.91062e-06;0
0.0235177;2.38277e-05;0
0.0780768;7.9106e-05;0
0.152493;0.000154503;0
0.235666;0.000238772;0
0.323087;0.000327345;0
0.413475;0.000418925;0
0.505526;0.000512189;0
0.598704;0.000606595;0
0.692741;0.000701872;0
0.78744;0.00079782;0
0.882662;0.000894297;0
0.978305;0.000991201;0
1.0743;0.00108846;0
1.17058;0.00118601;0
1.26711;0.00128381;0
1.36385;0.00138182;0
1.46077;0.00148003;0
1.55786;0.00157839;0
1.65509;0.0016769;0
1.75244;0.00177554;0
1.84991;0.0018743;0
1.94748;0.00197315;0
2.04515;0.00207211;0
2.1429;0.00217114;0
2.24072;0.00227026;0
2.33862;0.00236944;0
2.43658;0.00246869;0
2.5346;0.00256801;0
2.63267;0.00266737;0
2.7308;0.00276679;0
2.82897;0.00286626;0
2.92719;0.00296578;0
3.02545;0.00306533;0
3.12375;0.00316493;0
3.22209;0.00326456;0
3.32046;0.00336423;0
3.41886;0.00346393;0
3.5173;0.00356366;0
3.61576;0.00366342;0
3.71425;0.00376321;0
3.81277;0.00386303;0
3.91131;0.00396287;0
4.00988;0.00406273;0
4.10847;0.00416262;0
4.20707;0.00426253;0
4.3057;0.00436246;0
4.40435;0.00446241;0
4.50302;0.00456238;0
4.60171;0.00466236;0
4.70041;0.00476237;0
4.79913;0.00486239;0
4.89786;0.00496242;0
4.99661;0.00506248;0
5.09538;0.00516254;0
5.19416;0.00526262;0
5.29295;0.00536272;0
5.39175;0.00546282;0
5.49057;0.00556294;0
5.5894;0.00566308;0
5.68824;0.00576322;0
5.78709;0.00586338;0
5.88596;0.00596354;0
5.98483;0.00606372;0
6.08372;0.00616391;0
6.18261;0.0062641;0
6.28151;0.00636431;0
6.38043;0.00646453;0
6.47935;0.00656475;0
6.57828;0.00666499;0
6.67722;0.00676523;0
6.77616;0.00686548;0
6.87512;0.00696574;0
6.97408;0.00706601;0
7.07305;0.00716628;0
7.17203;0.00726656;0
7.27101;0.00736685;0
7.37;0.00746715;0
7.469;0.00756745;0
7.56801;0.00766776;0
7.66702;0.00776808;0
7.76604;0.0078684;0
7.86506;0.00796873;0
7.96409;0.00806906;0
8.06312;0.00816941;0
8.16216;0.00826975;0
8.26121;0.0083701;0
8.36026;0.00847046;0
8.45932;0.00857082;0
8.55838;0.00867119;0
8.65745;0.00877156;0
8.75652;0.00887194;0
8.8556;0.00897232;0
8.95468;0.00907271;0
9.05376;0.0091731;0
9.15285;0.0092735;0
9.25195;0.0093739;0
9.35105;0.0094743;0
9.45015;0.00957471;0
9.54926;0.00967513;0
9.64837;0.00977555;0
9.74748;0.00987597;0
9.8466;0.00997639;0
9.94572;0.0100768;0
10.0449;0.0101773;0
10.144;0.0102777;0
10.2431;0.0103781;0
10.3423;0.0104786;0
10.4414;0.010579;0
10.5405;0.0106795;0
10.6397;0.0107799;0
10.7388;0.0108804;0
10.838;0.0109808;0
10.9371;0.0110813;0
11.0363;0.0111818;0
11.1355;0.0112822;0
11.2346;0.0113827;0
11.3338;0.0114832;0
11.433;0.0115837;0
11.5321;0.0116842;0
11.6313;0.0117846;0
11.7305;0.0118851;0
11.8297;0.0119856;0
11.9289;0.0120861;0
12.0281;0.0121866;0
12.1273;0.0122871;0
12.2264;0.0123876;0
12.3256;0.0124881;0
12.4248;0.0125886;0
12.524;0.0126891;0
12.6232;0.0127896;0
12.7224;0.0128901;0
12.8217;0.0129907;0
12.9209;0.0130912;0
13.0201;0.0131917;0
13.1193;0.0132922;0
13.2185;0.0133927;0
13.3177;0.0134933;0
13.4169;0.0135938;0
13.5162;0.0136943;0
13.6154;0.0137949;0
13.7146;0.0138954;0
13.8138;0.0139959;0
13.9131;0.0140965;0
14.0123;0.014197;0
14.1115;0.0142975;0
14.2108;0.0143981;0
14.31;0.0144986;0
14.4093;0.0145992;0
14.5085;0.0146997;0
14.6077;0.0148003;0
14.707;0.0149008;0
14.8062;0.0150014;0
14.9055;0.0151019;0
15.0047;0.0152025;0
15.104;0.0153031;0
15.2032;0.0154036;0
15.3025;0.0155042;0
15.4017;0.0156048;0
15.501;0.0157053;0
15.6003;0.0158059;0
15.6995;0.0159065;0
15.7988;0.016007;0
15.898;0.0161076;0
15.9973;0.0162082;0
16.0966;0.0163087;0
16.1958;0.0164093;0
16.2951;0.0165099;0
16.3944;0.0166105;0
16.4937;0.0167111;0
16.5929;0.0168116;0
16.6922;0.0169122;0
16.7915;0.0170128;0
16.8908;0.0171134;0
16.99;0.017214;0
17.0893;0.0173146;0
17.1886;0.0174152;0
17.2879;0.0175157;0
17.3872;0.0176163;0
17.4864;0.0177169;0
17.5857;0.0178175;0
17.685;0.0179181;0
17.7843;0.0180187;0
17.8836;0.0181193;0
17.9829;0.0182199;0
18.0822;0.0183205;0
18.1815;0.0184211;0
18.2808;0.0185217;0
18.3801;0.0186223;0
18.4794;0.0187229;0
18.5787;0.0188235;0
18.678;0.0189241;0
18.7773;0.0190248;0
18.8766;0.0191254;0
18.9759;0.019226;0
19.0752;0.0193266;0
19.1745;0.0194272;0
